area_fips,own_code,industry_code,agglvl_code,size_code,year,qtr,disclosure_code,qtrly_estabs,month1_emplvl,month2_emplvl,month3_emplvl,total_qtrly_wages,taxable_qtrly_wages,qtrly_contributions,avg_wkly_wage,lq_disclosure_code,lq_qtrly_estabs,lq_month1_emplvl,lq_month2_emplvl,lq_month3_emplvl,lq_total_qtrly_wages,lq_taxable_qtrly_wages,lq_qtrly_contributions,lq_avg_wkly_wage,oty_disclosure_code,oty_qtrly_estabs_chg,oty_qtrly_estabs_pct_chg,oty_month1_emplvl_chg,oty_month1_emplvl_pct_chg,oty_month2_emplvl_chg,oty_month2_emplvl_pct_chg,oty_month3_emplvl_chg,oty_month3_emplvl_pct_chg,oty_total_qtrly_wages_chg,oty_total_qtrly_wages_pct_chg,oty_taxable_qtrly_wages_chg,oty_taxable_qtrly_wages_pct_chg,oty_qtrly_contributions_chg,oty_qtrly_contributions_pct_chg,oty_avg_wkly_wage_chg,oty_avg_wkly_wage_pct_chg
1000,1,6111,56,0,2020,1,,3,254,253,253,2646088,0,0,803,,5.14,3.51,3.48,3.44,3.07,0,0,0.88,,0,0,50,24.5,52,25.9,48,23.4,28463,1.1,0,0,0,0,-187,-18.9
1000,2,6111,56,0,2020,1,,4,1322,1319,1314,12851388,0,0,750,,0.36,1.58,1.52,1.51,1.51,0,0,0.98,N,1,33.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000,3,6111,56,0,2020,1,,1883,97975,98157,98506,1033998464,0,0,810,,2.33,0.96,0.95,0.95,1.02,0,0,1.07,,14,0.7,262,0.3,262,0.3,152,0.2,44196427,4.5,0,0,0,0,33,4.2
1000,5,6111,56,0,2020,1,,134,6202,6360,6238,49478332,22200468,161596,607,,0.56,0.52,0.53,0.52,0.48,0.65,0.49,0.92,,3,2.3,75,1.2,150,2.4,24,0.4,2563837,5.5,1132394,5.4,2500,1.6,23,3.9
1001,3,6111,76,0,2020,1,N,18,0,0,0,0,0,0,0,N,3.25,0,0,0,0,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1001,5,6111,76,0,2020,1,,4,173,176,180,1471916,773073,4641,642,,2.42,2.59,2.63,2.71,3.03,4.67,2.7,1.14,,0,0,15,9.5,15,9.3,17,10.4,254180,20.9,146853,23.5,946,25.6,59,10.1
1003,3,6111,76,0,2020,1,N,54,0,0,0,0,0,0,0,N,1.33,0,0,0,0,0,0,0,N,5,10.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1003,5,6111,76,0,2020,1,,7,248,248,242,2234976,497933,2938,699,,0.58,0.56,0.54,0.53,0.76,0.39,0.26,1.4,,-1,-12.5,13,5.5,-4,-1.6,-5,-2,-11110,-0.5,-6270,-1.2,-106,-3.5,-7,-1
1005,3,6111,76,0,2020,1,N,11,0,0,0,0,0,0,0,N,3.18,0,0,0,0,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1005,5,6111,76,0,2020,1,N,1,0,0,0,0,0,0,0,N,0.97,0,0,0,0,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1007,3,6111,76,0,2020,1,N,16,0,0,0,0,0,0,0,N,7.08,0,0,0,0,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1007,5,6111,76,0,2020,1,N,1,0,0,0,0,0,0,0,N,1.48,0,0,0,0,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1009,3,6111,76,0,2020,1,,23,1255,1264,1262,11667756,0,0,712,,4.77,2.87,2.85,2.82,3.77,0,0,1.32,,0,0,11,0.9,15,1.2,23,1.9,345761,3.1,0,0,0,0,12,1.7
1011,3,6111,76,0,2020,1,N,7,0,0,0,0,0,0,0,N,6.32,0,0,0,0,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1013,3,6111,76,0,2020,1,,8,446,450,442,4043867,0,0,697,,2.66,1.27,1.27,1.25,1.65,0,0,1.31,,0,0,-11,-2.4,-10,-2.2,-14,-3.1,67650,1.7,0,0,0,0,29,4.3
