date,covid restriction,school district,county,state,presidential results,notes,fips_code,subregion
8/19/20,0,Cullman City School District,Cullman,Alabama,Trump,,1043,cullman
8/20/20,0,Cullman City School District,Cullman,Alabama,Trump,,,
8/21/20,0,Cullman City School District,Cullman,Alabama,Trump,,,
8/22/20,0,Cullman City School District,Cullman,Alabama,Trump,,,
8/23/20,0,Cullman City School District,Cullman,Alabama,Trump,,,
8/24/20,0,Cullman City School District,Cullman,Alabama,Trump,,,
8/25/20,0,Cullman City School District,Cullman,Alabama,Trump,,,
8/26/20,0,Cullman City School District,Cullman,Alabama,Trump,,,
8/27/20,0,Cullman City School District,Cullman,Alabama,Trump,,,
8/28/20,0,Cullman City School District,Cullman,Alabama,Trump,,,
8/29/20,0,Cullman City School District,Cullman,Alabama,Trump,,,
8/30/20,0,Cullman City School District,Cullman,Alabama,Trump,,,
8/31/20,0,Cullman City School District,Cullman,Alabama,Trump,,,
9/1/20,0,Cullman City School District,Cullman,Alabama,Trump,,,
9/2/20,0,Cullman City School District,Cullman,Alabama,Trump,,,
9/3/20,0,Cullman City School District,Cullman,Alabama,Trump,,,
9/4/20,0,Cullman City School District,Cullman,Alabama,Trump,,,
9/5/20,0,Cullman City School District,Cullman,Alabama,Trump,,,
9/6/20,0,Cullman City School District,Cullman,Alabama,Trump,,,
9/7/20,0,Cullman City School District,Cullman,Alabama,Trump,,,
9/8/20,0,Cullman City School District,Cullman,Alabama,Trump,,,
9/9/20,0,Cullman City School District,Cullman,Alabama,Trump,,,
9/10/20,0,Cullman City School District,Cullman,Alabama,Trump,,,
9/11/20,0,Cullman City School District,Cullman,Alabama,Trump,,,
9/12/20,0,Cullman City School District,Cullman,Alabama,Trump,,,
9/13/20,0,Cullman City School District,Cullman,Alabama,Trump,,,
9/14/20,0,Cullman City School District,Cullman,Alabama,Trump,,,
9/15/20,0,Cullman City School District,Cullman,Alabama,Trump,,,
9/16/20,0,Cullman City School District,Cullman,Alabama,Trump,,,
9/17/20,0,Cullman City School District,Cullman,Alabama,Trump,,,
9/18/20,0,Cullman City School District,Cullman,Alabama,Trump,,,
9/19/20,0,Cullman City School District,Cullman,Alabama,Trump,,,
9/20/20,0,Cullman City School District,Cullman,Alabama,Trump,,,
9/21/20,0,Cullman City School District,Cullman,Alabama,Trump,,,
9/22/20,0,Cullman City School District,Cullman,Alabama,Trump,,,
9/23/20,0,Cullman City School District,Cullman,Alabama,Trump,,,
9/24/20,0,Cullman City School District,Cullman,Alabama,Trump,,,
9/25/20,0,Cullman City School District,Cullman,Alabama,Trump,,,
9/26/20,0,Cullman City School District,Cullman,Alabama,Trump,,,
9/27/20,0,Cullman City School District,Cullman,Alabama,Trump,,,
9/28/20,0,Cullman City School District,Cullman,Alabama,Trump,,,
9/29/20,0,Cullman City School District,Cullman,Alabama,Trump,,,
9/30/20,0,Cullman City School District,Cullman,Alabama,Trump,,,
10/1/20,0,Cullman City School District,Cullman,Alabama,Trump,,,
10/2/20,0,Cullman City School District,Cullman,Alabama,Trump,,,
10/3/20,0,Cullman City School District,Cullman,Alabama,Trump,,,
10/4/20,0,Cullman City School District,Cullman,Alabama,Trump,,,
10/5/20,0,Cullman City School District,Cullman,Alabama,Trump,,,
10/6/20,0,Cullman City School District,Cullman,Alabama,Trump,,,
10/7/20,0,Cullman City School District,Cullman,Alabama,Trump,,,
10/8/20,0,Cullman City School District,Cullman,Alabama,Trump,,,
10/9/20,0,Cullman City School District,Cullman,Alabama,Trump,,,
10/10/20,0,Cullman City School District,Cullman,Alabama,Trump,,,
10/11/20,0,Cullman City School District,Cullman,Alabama,Trump,,,
10/12/20,0,Cullman City School District,Cullman,Alabama,Trump,,,
10/13/20,0,Cullman City School District,Cullman,Alabama,Trump,,,
10/14/20,0,Cullman City School District,Cullman,Alabama,Trump,,,
10/15/20,0,Cullman City School District,Cullman,Alabama,Trump,,,
10/16/20,0,Cullman City School District,Cullman,Alabama,Trump,,,
10/17/20,0,Cullman City School District,Cullman,Alabama,Trump,,,
10/18/20,0,Cullman City School District,Cullman,Alabama,Trump,,,
10/19/20,0,Cullman City School District,Cullman,Alabama,Trump,,,
10/20/20,0,Cullman City School District,Cullman,Alabama,Trump,,,
10/21/20,0,Cullman City School District,Cullman,Alabama,Trump,,,
10/22/20,0,Cullman City School District,Cullman,Alabama,Trump,,,
10/23/20,0,Cullman City School District,Cullman,Alabama,Trump,,,
10/24/20,0,Cullman City School District,Cullman,Alabama,Trump,,,
10/25/20,0,Cullman City School District,Cullman,Alabama,Trump,,,
10/26/20,0,Cullman City School District,Cullman,Alabama,Trump,,,
10/27/20,0,Cullman City School District,Cullman,Alabama,Trump,,,
10/28/20,0,Cullman City School District,Cullman,Alabama,Trump,,,
10/29/20,0,Cullman City School District,Cullman,Alabama,Trump,,,
10/30/20,0,Cullman City School District,Cullman,Alabama,Trump,,,
10/31/20,0,Cullman City School District,Cullman,Alabama,Trump,,,
11/1/20,0,Cullman City School District,Cullman,Alabama,Trump,,,
11/2/20,0,Cullman City School District,Cullman,Alabama,Trump,,,
11/3/20,0,Cullman City School District,Cullman,Alabama,Trump,,,
11/4/20,0,Cullman City School District,Cullman,Alabama,Trump,,,
11/5/20,0,Cullman City School District,Cullman,Alabama,Trump,,,
11/6/20,0,Cullman City School District,Cullman,Alabama,Trump,,,
11/7/20,0,Cullman City School District,Cullman,Alabama,Trump,,,
11/8/20,0,Cullman City School District,Cullman,Alabama,Trump,,,
11/9/20,0,Cullman City School District,Cullman,Alabama,Trump,,,
11/10/20,0,Cullman City School District,Cullman,Alabama,Trump,,,
11/11/20,0,Cullman City School District,Cullman,Alabama,Trump,,,
11/12/20,0,Cullman City School District,Cullman,Alabama,Trump,,,
11/13/20,0,Cullman City School District,Cullman,Alabama,Trump,,,
11/14/20,0,Cullman City School District,Cullman,Alabama,Trump,,,
11/15/20,0,Cullman City School District,Cullman,Alabama,Trump,,,
11/16/20,0,Cullman City School District,Cullman,Alabama,Trump,,,
11/17/20,0,Cullman City School District,Cullman,Alabama,Trump,,,
11/18/20,0,Cullman City School District,Cullman,Alabama,Trump,,,
11/19/20,0,Cullman City School District,Cullman,Alabama,Trump,,,
8/31/20,0,Moffat County School District RE-1,Moffat,Colorado,Trump,,8081,moffat
9/1/20,0,Moffat County School District RE-2,Moffat,Colorado,Trump,,,
9/2/20,0,Moffat County School District RE-3,Moffat,Colorado,Trump,,,
9/3/20,0,Moffat County School District RE-4,Moffat,Colorado,Trump,,,
9/4/20,0,Moffat County School District RE-5,Moffat,Colorado,Trump,,,
9/5/20,0,Moffat County School District RE-6,Moffat,Colorado,Trump,,,
9/6/20,0,Moffat County School District RE-7,Moffat,Colorado,Trump,,,
9/7/20,0,Moffat County School District RE-8,Moffat,Colorado,Trump,,,
9/8/20,0,Moffat County School District RE-9,Moffat,Colorado,Trump,,,
9/9/20,0,Moffat County School District RE-10,Moffat,Colorado,Trump,,,
9/10/20,0,Moffat County School District RE-11,Moffat,Colorado,Trump,,,
9/11/20,0,Moffat County School District RE-12,Moffat,Colorado,Trump,,,
9/12/20,0,Moffat County School District RE-13,Moffat,Colorado,Trump,,,
9/13/20,0,Moffat County School District RE-14,Moffat,Colorado,Trump,,,
9/14/20,0,Moffat County School District RE-15,Moffat,Colorado,Trump,,,
9/15/20,0,Moffat County School District RE-16,Moffat,Colorado,Trump,,,
9/16/20,0,Moffat County School District RE-17,Moffat,Colorado,Trump,,,
9/17/20,0,Moffat County School District RE-18,Moffat,Colorado,Trump,,,
9/18/20,0,Moffat County School District RE-19,Moffat,Colorado,Trump,,,
9/19/20,0,Moffat County School District RE-20,Moffat,Colorado,Trump,,,
9/20/20,0,Moffat County School District RE-21,Moffat,Colorado,Trump,,,
9/21/20,0,Moffat County School District RE-22,Moffat,Colorado,Trump,,,
9/22/20,0,Moffat County School District RE-23,Moffat,Colorado,Trump,,,
9/23/20,0,Moffat County School District RE-24,Moffat,Colorado,Trump,,,
9/24/20,0,Moffat County School District RE-25,Moffat,Colorado,Trump,,,
9/25/20,0,Moffat County School District RE-26,Moffat,Colorado,Trump,,,
9/26/20,0,Moffat County School District RE-27,Moffat,Colorado,Trump,,,
9/27/20,0,Moffat County School District RE-28,Moffat,Colorado,Trump,,,
9/28/20,0,Moffat County School District RE-29,Moffat,Colorado,Trump,,,
9/29/20,0,Moffat County School District RE-30,Moffat,Colorado,Trump,,,
9/30/20,0,Moffat County School District RE-31,Moffat,Colorado,Trump,,,
10/1/20,0,Moffat County School District RE-32,Moffat,Colorado,Trump,,,
10/2/20,0,Moffat County School District RE-33,Moffat,Colorado,Trump,,,
10/3/20,0,Moffat County School District RE-34,Moffat,Colorado,Trump,,,
10/4/20,0,Moffat County School District RE-35,Moffat,Colorado,Trump,,,
10/5/20,0,Moffat County School District RE-36,Moffat,Colorado,Trump,,,
10/6/20,0,Moffat County School District RE-37,Moffat,Colorado,Trump,,,
10/7/20,0,Moffat County School District RE-38,Moffat,Colorado,Trump,,,
10/8/20,0,Moffat County School District RE-39,Moffat,Colorado,Trump,,,
10/9/20,0,Moffat County School District RE-40,Moffat,Colorado,Trump,,,
10/10/20,0,Moffat County School District RE-41,Moffat,Colorado,Trump,,,
10/11/20,0,Moffat County School District RE-42,Moffat,Colorado,Trump,,,
10/12/20,0,Moffat County School District RE-43,Moffat,Colorado,Trump,,,
10/13/20,0,Moffat County School District RE-44,Moffat,Colorado,Trump,,,
10/14/20,0,Moffat County School District RE-45,Moffat,Colorado,Trump,,,
10/15/20,0,Moffat County School District RE-46,Moffat,Colorado,Trump,,,
10/16/20,0,Moffat County School District RE-47,Moffat,Colorado,Trump,,,
10/17/20,0,Moffat County School District RE-48,Moffat,Colorado,Trump,,,
10/18/20,0,Moffat County School District RE-49,Moffat,Colorado,Trump,,,
10/19/20,0,Moffat County School District RE-50,Moffat,Colorado,Trump,,,
10/20/20,0,Moffat County School District RE-51,Moffat,Colorado,Trump,,,
10/21/20,0,Moffat County School District RE-52,Moffat,Colorado,Trump,,,
10/22/20,0,Moffat County School District RE-53,Moffat,Colorado,Trump,,,
10/23/20,0,Moffat County School District RE-54,Moffat,Colorado,Trump,,,
10/24/20,0,Moffat County School District RE-55,Moffat,Colorado,Trump,,,
10/25/20,0,Moffat County School District RE-56,Moffat,Colorado,Trump,,,
10/26/20,0,Moffat County School District RE-57,Moffat,Colorado,Trump,,,
10/27/20,0,Moffat County School District RE-58,Moffat,Colorado,Trump,,,
10/28/20,0,Moffat County School District RE-59,Moffat,Colorado,Trump,,,
10/29/20,0,Moffat County School District RE-60,Moffat,Colorado,Trump,,,
10/30/20,0,Moffat County School District RE-61,Moffat,Colorado,Trump,,,
10/31/20,0,Moffat County School District RE-62,Moffat,Colorado,Trump,,,
11/1/20,0,Moffat County School District RE-63,Moffat,Colorado,Trump,,,
11/2/20,0,Moffat County School District RE-64,Moffat,Colorado,Trump,,,
11/3/20,0,Moffat County School District RE-65,Moffat,Colorado,Trump,,,
11/4/20,0,Moffat County School District RE-66,Moffat,Colorado,Trump,,,
11/5/20,0,Moffat County School District RE-67,Moffat,Colorado,Trump,,,
11/6/20,0,Moffat County School District RE-68,Moffat,Colorado,Trump,,,
11/7/20,0,Moffat County School District RE-69,Moffat,Colorado,Trump,,,
11/8/20,0,Moffat County School District RE-70,Moffat,Colorado,Trump,,,
11/9/20,0,Moffat County School District RE-71,Moffat,Colorado,Trump,,,
11/10/20,0,Moffat County School District RE-72,Moffat,Colorado,Trump,,,
11/11/20,0,Moffat County School District RE-73,Moffat,Colorado,Trump,,,
11/12/20,0,Moffat County School District RE-74,Moffat,Colorado,Trump,,,
11/13/20,0,Moffat County School District RE-75,Moffat,Colorado,Trump,,,
11/14/20,0,Moffat County School District RE-76,Moffat,Colorado,Trump,,,
11/15/20,0,Moffat County School District RE-77,Moffat,Colorado,Trump,,,
11/16/20,0,Moffat County School District RE-78,Moffat,Colorado,Trump,,,
11/17/20,0,Moffat County School District RE-79,Moffat,Colorado,Trump,,,
11/18/20,0,Moffat County School District RE-80,Moffat,Colorado,Trump,,,
11/19/20,0,Moffat County School District RE-81,Moffat,Colorado,Trump,,,
8/31/20,0,Coventry School District,Tolland,Connecticut,Biden,,9013,tolland
9/1/20,0,Coventry School District,Tolland,Connecticut,Biden,,,
9/2/20,0,Coventry School District,Tolland,Connecticut,Biden,,,
9/3/20,0,Coventry School District,Tolland,Connecticut,Biden,,,
9/4/20,0,Coventry School District,Tolland,Connecticut,Biden,,,
9/5/20,0,Coventry School District,Tolland,Connecticut,Biden,,,
9/6/20,0,Coventry School District,Tolland,Connecticut,Biden,,,
9/7/20,0,Coventry School District,Tolland,Connecticut,Biden,,,
9/8/20,0,Coventry School District,Tolland,Connecticut,Biden,,,
9/9/20,0,Coventry School District,Tolland,Connecticut,Biden,,,
9/10/20,0,Coventry School District,Tolland,Connecticut,Biden,,,
9/11/20,0,Coventry School District,Tolland,Connecticut,Biden,,,
9/12/20,0,Coventry School District,Tolland,Connecticut,Biden,,,
9/13/20,0,Coventry School District,Tolland,Connecticut,Biden,,,
9/14/20,0,Coventry School District,Tolland,Connecticut,Biden,,,
9/15/20,0,Coventry School District,Tolland,Connecticut,Biden,,,
9/16/20,0,Coventry School District,Tolland,Connecticut,Biden,,,
9/17/20,0,Coventry School District,Tolland,Connecticut,Biden,,,
9/18/20,0,Coventry School District,Tolland,Connecticut,Biden,,,
9/19/20,0,Coventry School District,Tolland,Connecticut,Biden,,,
9/20/20,0,Coventry School District,Tolland,Connecticut,Biden,,,
9/21/20,0,Coventry School District,Tolland,Connecticut,Biden,,,
9/22/20,0,Coventry School District,Tolland,Connecticut,Biden,,,
9/23/20,0,Coventry School District,Tolland,Connecticut,Biden,,,
9/24/20,0,Coventry School District,Tolland,Connecticut,Biden,,,
9/25/20,0,Coventry School District,Tolland,Connecticut,Biden,,,
9/26/20,0,Coventry School District,Tolland,Connecticut,Biden,,,
9/27/20,0,Coventry School District,Tolland,Connecticut,Biden,,,
9/28/20,-1,Coventry School District,Tolland,Connecticut,Biden,,,
9/29/20,-1,Coventry School District,Tolland,Connecticut,Biden,,,
9/30/20,-1,Coventry School District,Tolland,Connecticut,Biden,,,
10/1/20,-1,Coventry School District,Tolland,Connecticut,Biden,,,
10/2/20,-1,Coventry School District,Tolland,Connecticut,Biden,,,
10/3/20,-1,Coventry School District,Tolland,Connecticut,Biden,,,
10/4/20,-1,Coventry School District,Tolland,Connecticut,Biden,,,
10/5/20,-1,Coventry School District,Tolland,Connecticut,Biden,,,
10/6/20,-1,Coventry School District,Tolland,Connecticut,Biden,,,
10/7/20,-1,Coventry School District,Tolland,Connecticut,Biden,,,
10/8/20,-1,Coventry School District,Tolland,Connecticut,Biden,,,
10/9/20,-1,Coventry School District,Tolland,Connecticut,Biden,,,
10/10/20,-1,Coventry School District,Tolland,Connecticut,Biden,,,
10/11/20,-1,Coventry School District,Tolland,Connecticut,Biden,,,
10/12/20,-1,Coventry School District,Tolland,Connecticut,Biden,,,
10/13/20,-1,Coventry School District,Tolland,Connecticut,Biden,,,
10/14/20,-1,Coventry School District,Tolland,Connecticut,Biden,,,
10/15/20,-1,Coventry School District,Tolland,Connecticut,Biden,,,
10/16/20,-1,Coventry School District,Tolland,Connecticut,Biden,,,
10/17/20,-1,Coventry School District,Tolland,Connecticut,Biden,,,
10/18/20,-1,Coventry School District,Tolland,Connecticut,Biden,,,
10/19/20,-1,Coventry School District,Tolland,Connecticut,Biden,,,
10/20/20,-1,Coventry School District,Tolland,Connecticut,Biden,,,
10/21/20,-1,Coventry School District,Tolland,Connecticut,Biden,,,
10/22/20,-1,Coventry School District,Tolland,Connecticut,Biden,,,
10/23/20,-1,Coventry School District,Tolland,Connecticut,Biden,,,
10/24/20,-1,Coventry School District,Tolland,Connecticut,Biden,,,
10/25/20,-1,Coventry School District,Tolland,Connecticut,Biden,,,
