GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNI,SDUNIA,PUMA5A,BTTRA,BTBGA,NAME_E,AJWME001,NAME_M,AJWMM001
G01000001,2014-2018,,,Alabama,1,,,,,,,,,,,,,,,,,,,,,,,,,,Fort Rucker School District,1,,,,"Fort Rucker School District, Alabama",5134,"Fort Rucker School District, Alabama",429
G01000003,2014-2018,,,Alabama,1,,,,,,,,,,,,,,,,,,,,,,,,,,Maxwell AFB School District,3,,,,"Maxwell AFB School District, Alabama",2237,"Maxwell AFB School District, Alabama",241
G01000005,2014-2018,,,Alabama,1,,,,,,,,,,,,,,,,,,,,,,,,,,Albertville City School District,5,,,,"Albertville City School District, Alabama",21460,"Albertville City School District, Alabama",40
G01000006,2014-2018,,,Alabama,1,,,,,,,,,,,,,,,,,,,,,,,,,,Marshall County School District,6,,,,"Marshall County School District, Alabama",48544,"Marshall County School District, Alabama",46
G01000007,2014-2018,,,Alabama,1,,,,,,,,,,,,,,,,,,,,,,,,,,Hoover City School District,7,,,,"Hoover City School District, Alabama",83407,"Hoover City School District, Alabama",427
G01000008,2014-2018,,,Alabama,1,,,,,,,,,,,,,,,,,,,,,,,,,,Madison City School District,8,,,,"Madison City School District, Alabama",48275,"Madison City School District, Alabama",33
G01000011,2014-2018,,,Alabama,1,,,,,,,,,,,,,,,,,,,,,,,,,,Leeds City School District,11,,,,"Leeds City School District, Alabama",12348,"Leeds City School District, Alabama",472
G01000012,2014-2018,,,Alabama,1,,,,,,,,,,,,,,,,,,,,,,,,,,Boaz City School District,12,,,,"Boaz City School District, Alabama",9553,"Boaz City School District, Alabama",286
G01000013,2014-2018,,,Alabama,1,,,,,,,,,,,,,,,,,,,,,,,,,,Trussville City School District,13,,,,"Trussville City School District, Alabama",21681,"Trussville City School District, Alabama",273
G01000030,2014-2018,,,Alabama,1,,,,,,,,,,,,,,,,,,,,,,,,,,Alexander City City School District,30,,,,"Alexander City City School District, Alabama",17410,"Alexander City City School District, Alabama",576
G01000060,2014-2018,,,Alabama,1,,,,,,,,,,,,,,,,,,,,,,,,,,Andalusia City School District,60,,,,"Andalusia City School District, Alabama",8864,"Andalusia City School District, Alabama",31
G01000090,2014-2018,,,Alabama,1,,,,,,,,,,,,,,,,,,,,,,,,,,Anniston City School District,90,,,,"Anniston City School District, Alabama",21924,"Anniston City School District, Alabama",27
G01000100,2014-2018,,,Alabama,1,,,,,,,,,,,,,,,,,,,,,,,,,,Arab City School District,100,,,,"Arab City School District, Alabama",8234,"Arab City School District, Alabama",39
G01000120,2014-2018,,,Alabama,1,,,,,,,,,,,,,,,,,,,,,,,,,,Athens City School District,120,,,,"Athens City School District, Alabama",25176,"Athens City School District, Alabama",62
G01000180,2014-2018,,,Alabama,1,,,,,,,,,,,,,,,,,,,,,,,,,,Attalla City School District,180,,,,"Attalla City School District, Alabama",5847,"Attalla City School District, Alabama",23
G01000185,2014-2018,,,Alabama,1,,,,,,,,,,,,,,,,,,,,,,,,,,Saraland City School District,185,,,,"Saraland City School District, Alabama",14268,"Saraland City School District, Alabama",42
G01000188,2014-2018,,,Alabama,1,,,,,,,,,,,,,,,,,,,,,,,,,,Chickasaw City School District,188,,,,"Chickasaw City School District, Alabama",5837,"Chickasaw City School District, Alabama",47
G01000189,2014-2018,,,Alabama,1,,,,,,,,,,,,,,,,,,,,,,,,,,Satsuma City School District,189,,,,"Satsuma City School District, Alabama",6151,"Satsuma City School District, Alabama",27
G01000190,2014-2018,,,Alabama,1,,,,,,,,,,,,,,,,,,,,,,,,,,Alabaster City School District,190,,,,"Alabaster City School District, Alabama",32878,"Alabaster City School District, Alabama",57
G01000194,2014-2018,,,Alabama,1,,,,,,,,,,,,,,,,,,,,,,,,,,Pelham City School District,194,,,,"Pelham City School District, Alabama",23242,"Pelham City School District, Alabama",60
G01000210,2014-2018,,,Alabama,1,,,,,,,,,,,,,,,,,,,,,,,,,,Auburn City School District,210,,,,"Auburn City School District, Alabama",62996,"Auburn City School District, Alabama",47
G01000240,2014-2018,,,Alabama,1,,,,,,,,,,,,,,,,,,,,,,,,,,Autauga County School District,240,,,,"Autauga County School District, Alabama",55200,"Autauga County School District, Alabama",0
G01000270,2014-2018,,,Alabama,1,,,,,,,,,,,,,,,,,,,,,,,,,,Baldwin County School District,270,,,,"Baldwin County School District, Alabama",208107,"Baldwin County School District, Alabama",0
G01000300,2014-2018,,,Alabama,1,,,,,,,,,,,,,,,,,,,,,,,,,,Barbour County School District,300,,,,"Barbour County School District, Alabama",13493,"Barbour County School District, Alabama",59
G01000330,2014-2018,,,Alabama,1,,,,,,,,,,,,,,,,,,,,,,,,,,Bessemer City School District,330,,,,"Bessemer City School District, Alabama",26759,"Bessemer City School District, Alabama",59
G01000360,2014-2018,,,Alabama,1,,,,,,,,,,,,,,,,,,,,,,,,,,Bibb County School District,360,,,,"Bibb County School District, Alabama",22527,"Bibb County School District, Alabama",0
G01000390,2014-2018,,,Alabama,1,,,,,,,,,,,,,,,,,,,,,,,,,,Birmingham City School District,390,,,,"Birmingham City School District, Alabama",212021,"Birmingham City School District, Alabama",505
G01000420,2014-2018,,,Alabama,1,,,,,,,,,,,,,,,,,,,,,,,,,,Blount County School District,420,,,,"Blount County School District, Alabama",51070,"Blount County School District, Alabama",37
G01000450,2014-2018,,,Alabama,1,,,,,,,,,,,,,,,,,,,,,,,,,,Brewton City School District,450,,,,"Brewton City School District, Alabama",5263,"Brewton City School District, Alabama",33
G01000480,2014-2018,,,Alabama,1,,,,,,,,,,,,,,,,,,,,,,,,,,Bullock County School District,480,,,,"Bullock County School District, Alabama",10352,"Bullock County School District, Alabama",0
G01000510,2014-2018,,,Alabama,1,,,,,,,,,,,,,,,,,,,,,,,,,,Butler County School District,510,,,,"Butler County School District, Alabama",20025,"Butler County School District, Alabama",0
G01000540,2014-2018,,,Alabama,1,,,,,,,,,,,,,,,,,,,,,,,,,,Calhoun County School District,540,,,,"Calhoun County School District, Alabama",55966,"Calhoun County School District, Alabama",558
G01000600,2014-2018,,,Alabama,1,,,,,,,,,,,,,,,,,,,,,,,,,,Chambers County School District,600,,,,"Chambers County School District, Alabama",27508,"Chambers County School District, Alabama",26
G01000630,2014-2018,,,Alabama,1,,,,,,,,,,,,,,,,,,,,,,,,,,Cherokee County School District,630,,,,"Cherokee County School District, Alabama",25853,"Cherokee County School District, Alabama",0
G01000660,2014-2018,,,Alabama,1,,,,,,,,,,,,,,,,,,,,,,,,,,Chilton County School District,660,,,,"Chilton County School District, Alabama",43930,"Chilton County School District, Alabama",0
G01000690,2014-2018,,,Alabama,1,,,,,,,,,,,,,,,,,,,,,,,,,,Choctaw County School District,690,,,,"Choctaw County School District, Alabama",13075,"Choctaw County School District, Alabama",0
G01000720,2014-2018,,,Alabama,1,,,,,,,,,,,,,,,,,,,,,,,,,,Clarke County School District,720,,,,"Clarke County School District, Alabama",18830,"Clarke County School District, Alabama",416
