Mean COVID Restriction Level,School District,County,Presidential Election Results
0,Cullman City School District,Cullman,Trump
0,Moffat County School District,Moffat,Trump
0,Coventry School District,Tolland,Biden
0,Calhoun County School District,Calhoun,Biden
0,Taylor County School District,Taylor,Trump
0.059405941,Goshen Community Schools,Elkhart,Trump
0,Winterset Community School District,Madison,Trump
0,Cedar Vale Unified School District,Chautauqua,Trump
0.196969697,Granby School District,Hampshire,Biden
0,Pinconning Area Schools,Bay,Trump
0.01369863,Brighton Area Schools,Livingston,Trump
0,Gulfport School District,Harrison,Trump
0,Columbus Municipal School District,Lowndes,Trump
0,Vicksburg Warren School District,Warren,Biden
0,Douglas County West Community Schools,Douglas,Biden
0,Sterling Public Schools,Johnson,Trump
0,Cliffside Park Borough School District,Bergen,Biden
0.849315068,Woodbine Borough School District,Cape May,Trump
0,Lincoln Park Borough School District,Morris,Biden
0.01369863,Hewlett-Woodmere Union Free School District,Nassau,Biden
0.178082192,Edmeston Central School District,Otsego,Trump
0,Garrison Union Free School District,Putnam,Trump
0,South Country Central School District,Suffolk,Trump
0,Carrington Public School District,Foster,Trump
0,River View Local School District,Coshocton,Trump
0,Evergreen Local School District,Fulton,Trump
0,Clay Local School District,Scioto,Trump
0,Springer Public Schools,Carter,Trump
0,Cameron Public Schools,Le Flore,Trump
0.056818182,Prue Public Schools,Osage,Trump
0,Bloomsburg Area School District,Columbia,Trump
0.160493827,Eastern Lebanon County School District,Lebanon,Trump
0,Lakeview School District,Mercer,Trump
0.113636364,Southwest Independent School District,Bexar,Biden
0,Era Independent School District,Cooke,Trump
0,Douglass Independent School District,Nacogdoches,Trump
0.431578947,Arlington Independent School District,Tarrant,Biden
0.350649351,Richland School District,Benton,Trump
0.5125,Kettle Falls School District,Stevens,Trump
0.709302326,Highland School District,Yakima,Trump
0,Southern Door County School District,Door,Biden
0,Albany School District,Green,Biden
